     n      m             Cnm             Snm 
     0      0    0.000000E+00    0.000000E+00 
     1      0    0.000000E+00    0.000000E+00 
     1      1    0.000000E+00    0.000000E+00 
     2      0    0.000000E+00    0.000000E+00 
     2      1   -3.412852E-10    1.433252E-09 
     2      2    2.439376E-06   -1.400289E-06 
     3      0    9.571703E-07    9.571703E-07 
     3      1    2.030448E-06    2.482382E-07 
     3      2    9.047757E-07   -6.190093E-07 
     3      3    7.212935E-07    1.414400E-06 
     4      0    5.399853E-07    5.399853E-07 
     4      1   -5.361794E-07   -4.735780E-07 
     4      2    3.504917E-07    6.625006E-07 
     4      3    9.908579E-07   -2.009493E-07 
     4      4   -1.884922E-07    3.088210E-07 
     5      0    6.865147E-08    6.865147E-08 
     5      1   -6.291432E-08   -9.433766E-08 
     5      2    6.520577E-07   -3.233425E-07 
     5      3   -4.518304E-07   -2.149420E-07 
     5      4   -2.953237E-07    4.981211E-08 
     5      5    1.748145E-07   -6.693600E-07 
     6      0   -1.499775E-07   -1.499775E-07 
     6      1   -7.594488E-08    2.652715E-08 
     6      2    4.863491E-08   -3.737671E-07 
     6      3    5.724975E-08    8.974185E-09 
     6      4   -8.599830E-08   -4.714267E-07 
     6      5   -2.671633E-07   -5.364953E-07 
     6      6    9.476292E-09   -2.373846E-07 
     7      0    9.050150E-08    9.050150E-08 
     7      1    2.808864E-07    9.516089E-08 
     7      2    3.303936E-07    9.302145E-08 
     7      3    2.504654E-07   -2.170968E-07 
     7      4   -2.749853E-07   -1.240484E-07 
     7      5    1.647848E-09    1.793081E-08 
     7      6   -3.587994E-07    1.517945E-07 
     7      7    1.521417E-09    2.410282E-08 
     8      0    4.947844E-08    4.947844E-08 
     8      1    2.314049E-08    5.890422E-08 
     8      2    8.002143E-08    6.530099E-08 
     8      3   -1.936086E-08   -8.594256E-08 
     8      4   -2.443436E-07    6.981171E-08 
     8      5   -2.570037E-08    8.920764E-08 
     8      6   -6.597029E-08    3.089449E-07 
     8      7    6.725638E-08    7.486538E-08 
     8      8   -1.240345E-07    1.205423E-07 
     9      0    2.802391E-08    2.802391E-08 
     9      1    1.421501E-07    2.141672E-08 
     9      2    2.141183E-08   -3.167895E-08 
     9      3   -1.606026E-07   -7.425068E-08 
     9      4   -9.348932E-09    1.989870E-08 
     9      5   -1.631436E-08   -5.404316E-08 
     9      6    6.278343E-08    2.229643E-07 
     9      7   -1.179810E-07   -9.692081E-08 
     9      8    1.881315E-07   -3.003587E-09 
     9      9   -4.755803E-08    9.687710E-08 
    10      0    5.334600E-08    5.334600E-08 
    10      1    8.375356E-08   -1.310947E-07 
    10      2   -9.397549E-08   -5.126433E-08 
    10      3   -6.991764E-09   -1.541271E-07 
    10      4   -8.445896E-08   -7.902458E-08 
    10      5   -4.928479E-08   -5.061628E-08 
    10      6   -3.758767E-08   -7.977062E-08 
    10      7    8.256128E-09   -3.049390E-09 
    10      8    4.058906E-08   -9.171133E-08 
    10      9    1.253846E-07   -3.794235E-08 
    10     10    1.004226E-07   -2.386259E-08 
    11      0   -5.076384E-08   -5.076384E-08 
    11      1    1.561452E-08   -2.712079E-08 
    11      2    2.011384E-08   -9.898767E-08 
    11      3   -3.057060E-08   -1.488319E-07 
    11      4   -3.794079E-08   -6.376591E-08 
    11      5    3.741905E-08    4.958581E-08 
    11      6   -1.567896E-09    3.427401E-08 
    11      7    4.656136E-09   -8.982746E-08 
    11      8   -6.313147E-09    2.454700E-08 
    11      9   -3.107711E-08    4.206397E-08 
    11     10   -5.223706E-08   -1.841904E-08 
    11     11    4.623375E-08   -6.967214E-08 
    12      0    3.644863E-08    3.644863E-08 
    12      1   -5.358771E-08   -4.316889E-08 
    12      2    1.428045E-08    3.110004E-08 
    12      3    3.963449E-08    2.506873E-08 
    12      4   -6.772096E-08    3.838292E-09 
    12      5    3.087588E-08    7.588141E-09 
    12      6    3.132833E-09    3.897861E-08 
    12      7   -1.905538E-08    3.572432E-08 
    12      8   -2.588810E-08    1.693569E-08 
    12      9    4.190967E-08    2.496090E-08 
    12     10   -6.199883E-09    3.093622E-08 
    12     11    1.136648E-08   -6.388122E-09 
    12     12   -2.421714E-09   -1.111091E-08 
    13      0    4.173045E-08    4.173045E-08 
    13      1   -5.144176E-08    3.868454E-08 
    13      2    5.530908E-08   -6.268629E-08 
    13      3   -2.155128E-08    9.768527E-08 
    13      4   -3.642777E-09   -1.175424E-08 
    13      5    5.836965E-08    6.722115E-08 
    13      6   -3.504355E-08   -6.275926E-09 
    13      7    3.011198E-09   -7.322532E-09 
    13      8   -1.005432E-08   -9.856220E-09 
    13      9    2.476892E-08    4.588742E-08 
    13     10    4.111099E-08   -3.684198E-08 
    13     11   -4.452272E-08   -4.842201E-09 
    13     12   -3.131057E-08    8.794051E-08 
    13     13   -6.120816E-08    6.814801E-08 
    14      0   -2.266243E-08   -2.266243E-08 
    14      1   -1.876939E-08    2.886061E-08 
    14      2   -3.591200E-08   -4.062207E-09 
    14      3    3.652436E-08    1.969607E-08 
    14      4    1.611266E-09   -2.266418E-08 
    14      5    2.931073E-08   -1.678950E-08 
    14      6   -1.906604E-08    2.453230E-09 
    14      7    3.762533E-08   -3.934819E-09 
    14      8   -3.494624E-08   -1.544592E-08 
    14      9    3.195324E-08    2.846645E-08 
    14     10    3.879945E-08   -1.294320E-09 
    14     11    1.564960E-08   -3.904312E-08 
    14     12    8.460954E-09   -3.112751E-08 
    14     13    3.224039E-08    4.515099E-08 
    14     14   -5.187110E-08   -4.818528E-09 
    15      0    2.190854E-09    2.190854E-09 
    15      1    9.431396E-09    1.048051E-08 
    15      2   -2.053049E-08   -3.029733E-08 
    15      3    5.341523E-08    1.765582E-08 
    15      4   -4.016882E-08    6.808778E-09 
    15      5    1.224313E-08    7.616747E-09 
    15      6    3.285287E-08   -3.647017E-08 
    15      7    5.965404E-08    5.071158E-09 
    15      8   -3.209409E-08    2.217494E-08 
    15      9    1.329878E-08    3.799237E-08 
    15     10    1.026640E-08    1.469211E-08 
    15     11   -1.302086E-09    1.851973E-08 
    15     12   -3.241510E-08    1.560790E-08 
    15     13   -2.836770E-08   -4.577008E-09 
    15     14    5.197560E-09   -2.439598E-08 
    15     15   -1.902770E-08   -4.698123E-09 
    16      0   -4.706724E-09   -4.706724E-09 
    16      1    2.618934E-08    3.334812E-08 
    16      2   -2.450491E-08    2.802467E-08 
    16      3   -3.390674E-08   -2.134084E-08 
    16      4    4.085470E-08    4.798927E-08 
    16      5   -1.212146E-08   -3.444749E-09 
    16      6    1.387138E-08   -3.559895E-08 
    16      7   -8.064243E-09   -8.654236E-09 
    16      8   -2.120811E-08    5.410422E-09 
    16      9   -2.241327E-08   -3.966755E-08 
    16     10   -1.180709E-08    1.153778E-08 
    16     11    1.911237E-08   -3.202151E-09 
    16     12    1.956583E-08    6.725444E-09 
    16     13    1.377268E-08    1.047160E-09 
    16     14   -1.934466E-08   -3.864886E-08 
    16     15   -1.441592E-08   -3.277096E-08 
    16     16   -3.830365E-08    2.968538E-09 
    17      0    1.918540E-08    1.918540E-08 
    17      1   -2.536702E-08   -3.170788E-08 
    17      2   -2.010197E-08    6.813768E-09 
    17      3    6.306528E-09    5.074972E-09 
    17      4    6.476490E-09    2.533181E-08 
    17      5   -1.621817E-08    8.026916E-09 
    17      6   -1.173266E-08   -2.944096E-08 
    17      7    2.497361E-08   -4.387465E-09 
    17      8    3.899500E-08    3.636110E-09 
    17      9    3.476849E-09   -2.764217E-08 
    17     10   -3.793641E-09    1.837861E-08 
    17     11   -1.601757E-08    1.108500E-08 
    17     12    2.872276E-08    2.045809E-08 
    17     13    1.650355E-08    2.013683E-08 
    17     14   -1.427383E-08    1.157240E-08 
    17     15    5.543139E-09    5.244430E-09 
    17     16   -3.040391E-08    3.605833E-09 
    17     17   -3.470047E-08   -1.986934E-08 
    18      0    6.099604E-09    6.099604E-09 
    18      1    7.203737E-09   -3.928894E-08 
    18      2    1.472722E-08    1.082843E-08 
    18      3   -5.041098E-09   -5.853287E-09 
    18      4    5.462364E-08   -7.839866E-10 
    18      5    5.976482E-09    2.613719E-08 
    18      6    1.357570E-08   -1.324628E-08 
    18      7    6.792613E-09    7.465078E-09 
    18      8    3.049689E-08    4.346123E-09 
    18      9   -1.956983E-08    3.613292E-08 
    18     10    5.215531E-09   -4.240614E-09 
    18     11   -6.887504E-09    2.118507E-09 
    18     12   -2.974864E-08   -1.656391E-08 
    18     13   -6.254482E-09   -3.493673E-08 
    18     14   -8.293908E-09   -1.283064E-08 
    18     15   -4.046694E-08   -2.027716E-08 
    18     16    1.016211E-08    6.504575E-09 
    18     17    3.482282E-09    4.382108E-09 
    18     18    2.994085E-09   -1.084578E-08 
    19      0   -3.302687E-09   -3.302687E-09 
    19      1   -8.977133E-09    1.188812E-09 
    19      2    3.574045E-08   -2.368695E-09 
    19      3   -7.564954E-09    1.095598E-09 
    19      4    1.580895E-08   -8.147377E-09 
    19      5    1.039160E-08    2.744637E-08 
    19      6   -4.799540E-09    1.875516E-08 
    19      7    5.640716E-09   -8.744868E-09 
    19      8    2.988558E-08   -9.993340E-09 
    19      9    3.289129E-09    7.239587E-09 
    19     10   -3.387893E-08   -7.578432E-09 
    19     11    1.630448E-08    1.035806E-08 
    19     12   -2.442413E-09    9.456708E-09 
    19     13   -7.541863E-09   -2.852500E-08 
    19     14   -4.744145E-09   -1.285216E-08 
    19     15   -1.758807E-08   -1.407036E-08 
    19     16   -2.175045E-08   -7.097384E-09 
    19     17    2.880647E-08   -1.534065E-08 
    19     18    3.500988E-08   -9.693230E-09 
    19     19   -2.704135E-09    5.198620E-09 
    20      0    2.156081E-08    2.156081E-08 
    20      1    5.569459E-09    7.032712E-09 
    20      2    2.029295E-08    1.718418E-08 
    20      3   -4.746968E-09    3.889810E-08 
    20      4    4.267594E-09   -2.262205E-08 
    20      5   -1.012492E-08   -8.260285E-09 
    20      6    1.216179E-08   -4.366801E-09 
    20      7   -2.122738E-08   -7.067988E-10 
    20      8    5.093312E-09    2.154109E-09 
    20      9    1.718605E-08   -7.012082E-09 
    20     10   -3.229590E-08   -4.789102E-09 
    20     11    1.444975E-08   -1.915259E-08 
    20     12   -6.467697E-09    1.813386E-08 
    20     13    2.741117E-08    6.764871E-09 
    20     14    1.152854E-08   -1.437932E-08 
    20     15   -2.578862E-08   -8.663190E-10 
    20     16   -1.242948E-08   -3.427896E-10 
    20     17    4.504226E-09   -1.372868E-08 
    20     18    1.535661E-08   -8.877584E-10 
    20     19   -3.028285E-09    1.092163E-08 
    20     20    3.733178E-09   -1.269543E-08 
    21      0    6.251148E-09    6.251148E-09 
    21      1   -1.616241E-08    2.868942E-08 
    21      2   -5.614037E-09    4.178014E-09 
    21      3    1.914375E-08    2.271995E-08 
    21      4   -5.109521E-09    1.897864E-08 
    21      5    2.608493E-09    1.096721E-09 
    21      6   -1.354899E-08    1.285589E-11 
    21      7   -6.610042E-09    2.520512E-09 
    21      8   -1.723500E-08    2.146901E-09 
    21      9    1.585356E-08    9.079513E-09 
    21     10   -1.140056E-08   -1.138394E-09 
    21     11    6.893356E-09   -3.557946E-08 
    21     12   -3.327509E-09    1.477447E-08 
    21     13   -1.936524E-08    1.393639E-08 
    21     14    2.026753E-08    7.353116E-09 
    21     15    1.757365E-08    1.037040E-08 
