 l   m    f
 0   0    0
 1  -1  -92
 1   0 -163
 1   1  109
 2  -2  248
 2  -1 -170
 2   0   41
 2   1  163
 2   2  264
 3  -3  143
 3  -2  119
 3  -1 -182
 3   0  280
 3   1   59
 3   2 -140
 3   3  -78
 4  -4   38
 4  -3 -146
 4  -2  307
 4  -1  -42
 4   0  134
 4   1  -34
 4   2   32
 4   3  -31
 4   4  -25
 5  -5  -45
 5  -4 -120
 5  -3 -105
 5  -2  109
 5  -1 -102
 5   0   -9
 5   1  -71
 5   2 -209
 5   3  -58
 5   4   14
 5   5  175
 6  -6  -52
 6  -5  151
 6  -4  -49
 6  -3 -147
 6  -2   37
 6  -1 -185
 6   0   -2
 6   1  -23
 6   2  -69
 6   3   78
 6   4 -112
 6   5  108
 6   6 -202
 7  -7   37
 7  -6  -31
 7  -5  157
 7  -4 -331
 7  -3   -3
 7  -2   69
 7  -1 -110
 7   0 -103
 7   1   56
 7   2    5
 7   3  143
 7   4   24
 7   5  -25
 7   6  101
 7   7 -109
 8  -8 -103
 8  -7   72
 8  -6  -63
 8  -5   25
 8  -4  -28
 8  -3   10
 8  -2  144
 8  -1   10
 8   0 -159
 8   1  -15
 8   2   -7
 8   3   63
 8   4  -53
 8   5  -46
 8   6    6
 8   7    5
 8   8   43
 9  -9  -20
 9  -8  -87
 9  -7   84
 9  -6   36
 9  -5  -51
 9  -4  -24
 9  -3  129
 9  -2  130
 9  -1 -147
 9   0   32
 9   1   -2
 9   2  -13
 9   3   46
 9   4  -74
 9   5   16
 9   6  195
 9   7   31
 9   8  -50
 9   9   28
10 -10  199
10  -9 -124
10  -8   16
10  -7   88
10  -6    6
10  -5   72
10  -4 -101
10  -3  -31
10  -2  -62
10  -1   71
10   0   24
10   1  119
10   2 -107
10   3   69
10   4 -155
10   5  -31
10   6  -55
10   7  -20
10   8  -47
10   9   96
10  10   73
11 -11  130
11 -10   27
11  -9  -50
11  -8    9
11  -7    1
11  -6 -159
11  -5 -116
11  -4  -66
11  -3  -34
11  -2    3
11  -1  -41
11   0   50
11   1  -85
11   2 -123
11   3  156
11   4  -30
11   5  -38
11   6   31
11   7  -35
11   8  -19
11   9 -107
11  10   39
11  11  -84
12 -12   -2
12 -11  -18
12 -10  -76
12  -9   74
12  -8  -80
12  -7   29
12  -6   22
12  -5  -28
12  -4    1
12  -3  -43
12  -2   37
12  -1   34
12   0  -51
12   1   56
12   2  142
12   3  -53
12   4   60
12   5   93
12   6   32
12   7  -90
12   8   33
12   9   63
12  10  -30
12  11  -53
