     n      m             Cnm             Snm 
     0      0    0.000000E+00    0.000000E+00 
     1      0    0.000000E+00    0.000000E+00 
     1      1    0.000000E+00    0.000000E+00 
     2      0    0.000000E+00    0.000000E+00 
     2      1   -3.014062E-10    1.429812E-09 
     2      2    2.439374E-06   -1.400288E-06 
     3      0    9.571626E-07    9.571626E-07 
     3      1    2.030448E-06    2.482416E-07 
     3      2    9.047735E-07   -6.190077E-07 
     3      3    7.212925E-07    1.414402E-06 
     4      0    5.399812E-07    5.399812E-07 
     4      1   -5.361815E-07   -4.735772E-07 
     4      2    3.504896E-07    6.625038E-07 
     4      3    9.908572E-07   -2.009460E-07 
     4      4   -1.884970E-07    3.088198E-07 
     5      0    6.864526E-08    6.864526E-08 
     5      1   -6.291450E-08   -9.433490E-08 
     5      2    6.520532E-07   -3.233429E-07 
     5      3   -4.518279E-07   -2.149401E-07 
     5      4   -2.953246E-07    4.981148E-08 
     5      5    1.748134E-07   -6.693591E-07 
     6      0   -1.499814E-07   -1.499814E-07 
     6      1   -7.594808E-08    2.652793E-08 
     6      2    4.863310E-08   -3.737665E-07 
     6      3    5.724986E-08    8.977882E-09 
     6      4   -8.599710E-08   -4.714280E-07 
     6      5   -2.671624E-07   -5.364969E-07 
     6      6    9.476281E-09   -2.373807E-07 
     7      0    9.050181E-08    9.050181E-08 
     7      1    2.808863E-07    9.516264E-08 
     7      2    3.303923E-07    9.302431E-08 
     7      3    2.504665E-07   -2.170945E-07 
     7      4   -2.749858E-07   -1.240459E-07 
     7      5    1.647465E-09    1.793024E-08 
     7      6   -3.587989E-07    1.517952E-07 
     7      7    1.521657E-09    2.410398E-08 
     8      0    4.947812E-08    4.947812E-08 
     8      1    2.313957E-08    5.890539E-08 
     8      2    8.002201E-08    6.530269E-08 
     8      3   -1.935975E-08   -8.593988E-08 
     8      4   -2.443429E-07    6.981170E-08 
     8      5   -2.570047E-08    8.920892E-08 
     8      6   -6.597043E-08    3.089454E-07 
     8      7    6.725539E-08    7.486567E-08 
     8      8   -1.240349E-07    1.205397E-07 
     9      0    2.802276E-08    2.802276E-08 
     9      1    1.421496E-07    2.141820E-08 
     9      2    2.141165E-08   -3.167820E-08 
     9      3   -1.606022E-07   -7.424818E-08 
     9      4   -9.347423E-09    1.989823E-08 
     9      5   -1.631512E-08   -5.404305E-08 
     9      6    6.278333E-08    2.229651E-07 
     9      7   -1.179814E-07   -9.692062E-08 
     9      8    1.881303E-07   -3.004786E-09 
     9      9   -4.756008E-08    9.687617E-08 
    10      0    5.334722E-08    5.334722E-08 
    10      1    8.375284E-08   -1.310941E-07 
    10      2   -9.397543E-08   -5.126327E-08 
    10      3   -6.990774E-09   -1.541248E-07 
    10      4   -8.445875E-08   -7.902452E-08 
    10      5   -4.928468E-08   -5.061668E-08 
    10      6   -3.758781E-08   -7.977015E-08 
    10      7    8.256492E-09   -3.049672E-09 
    10      8    4.058907E-08   -9.171082E-08 
    10      9    1.253855E-07   -3.794137E-08 
    10     10    1.004210E-07   -2.386136E-08 
    11      0   -5.076341E-08   -5.076341E-08 
    11      1    1.561509E-08   -2.712124E-08 
    11      2    2.011356E-08   -9.898610E-08 
    11      3   -3.056944E-08   -1.488317E-07 
    11      4   -3.794052E-08   -6.376492E-08 
    11      5    3.741912E-08    4.958601E-08 
    11      6   -1.568709E-09    3.427395E-08 
    11      7    4.656211E-09   -8.982785E-08 
    11      8   -6.314596E-09    2.454690E-08 
    11      9   -3.107637E-08    4.206403E-08 
    11     10   -5.223667E-08   -1.841950E-08 
    11     11    4.623375E-08   -6.967224E-08 
    12      0    3.644910E-08    3.644910E-08 
    12      1   -5.358759E-08   -4.316891E-08 
    12      2    1.428111E-08    3.110041E-08 
    12      3    3.963531E-08    2.506943E-08 
    12      4   -6.771981E-08    3.837802E-09 
    12      5    3.087561E-08    7.588205E-09 
    12      6    3.132621E-09    3.897947E-08 
    12      7   -1.905585E-08    3.572383E-08 
    12      8   -2.588725E-08    1.693622E-08 
    12      9    4.190866E-08    2.496081E-08 
    12     10   -6.199513E-09    3.093672E-08 
    12     11    1.136662E-08   -6.387458E-09 
    12     12   -2.421907E-09   -1.111074E-08 
    13      0    4.173044E-08    4.173044E-08 
    13      1   -5.144192E-08    3.868376E-08 
    13      2    5.530929E-08   -6.268581E-08 
    13      3   -2.155130E-08    9.768536E-08 
    13      4   -3.642149E-09   -1.175461E-08 
    13      5    5.836896E-08    6.722067E-08 
    13      6   -3.504350E-08   -6.275614E-09 
    13      7    3.010584E-09   -7.323343E-09 
    13      8   -1.005489E-08   -9.856227E-09 
    13      9    2.476951E-08    4.588769E-08 
    13     10    4.111109E-08   -3.684307E-08 
    13     11   -4.452252E-08   -4.842772E-09 
    13     12   -3.130910E-08    8.794051E-08 
    13     13   -6.120710E-08    6.814788E-08 
    14      0   -2.266161E-08   -2.266161E-08 
    14      1   -1.876936E-08    2.886082E-08 
    14      2   -3.591154E-08   -4.062901E-09 
    14      3    3.652501E-08    1.969643E-08 
    14      4    1.611416E-09   -2.266419E-08 
    14      5    2.931054E-08   -1.678954E-08 
    14      6   -1.906602E-08    2.453166E-09 
    14      7    3.762507E-08   -3.935122E-09 
    14      8   -3.494568E-08   -1.544600E-08 
    14      9    3.195373E-08    2.846692E-08 
    14     10    3.879933E-08   -1.294138E-09 
    14     11    1.565026E-08   -3.904231E-08 
    14     12    8.459998E-09   -3.112792E-08 
    14     13    3.224112E-08    4.515083E-08 
    14     14   -5.187090E-08   -4.819280E-09 
    15      0    2.190808E-09    2.190808E-09 
    15      1    9.431699E-09    1.048013E-08 
    15      2   -2.053056E-08   -3.029735E-08 
    15      3    5.341502E-08    1.765515E-08 
    15      4   -4.016863E-08    6.808685E-09 
    15      5    1.224295E-08    7.616648E-09 
    15      6    3.285283E-08   -3.646986E-08 
    15      7    5.965426E-08    5.071121E-09 
    15      8   -3.209503E-08    2.217494E-08 
    15      9    1.329934E-08    3.799266E-08 
    15     10    1.026664E-08    1.469202E-08 
    15     11   -1.301706E-09    1.851941E-08 
    15     12   -3.241482E-08    1.560777E-08 
    15     13   -2.836820E-08   -4.576487E-09 
    15     14    5.197949E-09   -2.439566E-08 
    15     15   -1.902657E-08   -4.698101E-09 
    16      0   -4.706847E-09   -4.706847E-09 
    16      1    2.618966E-08    3.334855E-08 
    16      2   -2.450476E-08    2.802404E-08 
    16      3   -3.390637E-08   -2.134080E-08 
    16      4    4.085460E-08    4.798928E-08 
    16      5   -1.212146E-08   -3.444491E-09 
    16      6    1.387120E-08   -3.559850E-08 
    16      7   -8.063971E-09   -8.654541E-09 
    16      8   -2.120792E-08    5.410995E-09 
    16      9   -2.241332E-08   -3.966728E-08 
    16     10   -1.180726E-08    1.153812E-08 
    16     11    1.911243E-08   -3.202138E-09 
    16     12    1.956555E-08    6.725789E-09 
    16     13    1.377254E-08    1.046046E-09 
    16     14   -1.934449E-08   -3.864773E-08 
    16     15   -1.441612E-08   -3.277339E-08 
    16     16   -3.830341E-08    2.968285E-09 
    17      0    1.918510E-08    1.918510E-08 
    17      1   -2.536698E-08   -3.170816E-08 
    17      2   -2.010206E-08    6.813764E-09 
    17      3    6.306168E-09    5.074651E-09 
    17      4    6.476192E-09    2.533168E-08 
    17      5   -1.621821E-08    8.026744E-09 
    17      6   -1.173271E-08   -2.944061E-08 
    17      7    2.497324E-08   -4.387657E-09 
    17      8    3.899437E-08    3.636023E-09 
    17      9    3.477090E-09   -2.764214E-08 
    17     10   -3.793572E-09    1.837843E-08 
    17     11   -1.601739E-08    1.108469E-08 
    17     12    2.872313E-08    2.045735E-08 
    17     13    1.650272E-08    2.013722E-08 
    17     14   -1.427377E-08    1.157277E-08 
    17     15    5.543154E-09    5.243995E-09 
    17     16   -3.040441E-08    3.605725E-09 
    17     17   -3.470024E-08   -1.986895E-08 
    18      0    6.099474E-09    6.099474E-09 
    18      1    7.203847E-09   -3.928851E-08 
    18      2    1.472731E-08    1.082795E-08 
    18      3   -5.040807E-09   -5.853487E-09 
    18      4    5.462330E-08   -7.837429E-10 
    18      5    5.976403E-09    2.613707E-08 
    18      6    1.357581E-08   -1.324617E-08 
    18      7    6.792707E-09    7.464764E-09 
    18      8    3.049727E-08    4.346287E-09 
    18      9   -1.956977E-08    3.613295E-08 
    18     10    5.215675E-09   -4.240292E-09 
    18     11   -6.887148E-09    2.118543E-09 
    18     12   -2.974864E-08   -1.656412E-08 
    18     13   -6.254687E-09   -3.493736E-08 
    18     14   -8.293522E-09   -1.283007E-08 
    18     15   -4.046630E-08   -2.027816E-08 
    18     16    1.016212E-08    6.503631E-09 
    18     17    3.482090E-09    4.382856E-09 
    18     18    2.993648E-09   -1.084783E-08 
    19      0   -3.302551E-09   -3.302551E-09 
    19      1   -8.977423E-09    1.188329E-09 
    19      2    3.574064E-08   -2.368653E-09 
    19      3   -7.565011E-09    1.095144E-09 
    19      4    1.580916E-08   -8.147629E-09 
    19      5    1.039171E-08    2.744616E-08 
    19      6   -4.799494E-09    1.875546E-08 
    19      7    5.640771E-09   -8.744928E-09 
    19      8    2.988490E-08   -9.993262E-09 
    19      9    3.289655E-09    7.239770E-09 
    19     10   -3.387894E-08   -7.578335E-09 
    19     11    1.630493E-08    1.035810E-08 
    19     12   -2.442625E-09    9.456190E-09 
    19     13   -7.542451E-09   -2.852466E-08 
    19     14   -4.744509E-09   -1.285166E-08 
    19     15   -1.758851E-08   -1.407106E-08 
    19     16   -2.175082E-08   -7.097845E-09 
    19     17    2.880688E-08   -1.534091E-08 
    19     18    3.501048E-08   -9.693112E-09 
    19     19   -2.703596E-09    5.197824E-09 
    20      0    2.156106E-08    2.156106E-08 
    20      1    5.569618E-09    7.032860E-09 
    20      2    2.029323E-08    1.718430E-08 
    20      3   -4.746640E-09    3.889819E-08 
    20      4    4.267502E-09   -2.262185E-08 
    20      5   -1.012491E-08   -8.260041E-09 
    20      6    1.216175E-08   -4.366810E-09 
    20      7   -2.122741E-08   -7.068966E-10 
    20      8    5.093800E-09    2.154389E-09 
    20      9    1.718600E-08   -7.011920E-09 
    20     10   -3.229585E-08   -4.788757E-09 
    20     11    1.445016E-08   -1.915245E-08 
    20     12   -6.467632E-09    1.813389E-08 
    20     13    2.741053E-08    6.764093E-09 
    20     14    1.152908E-08   -1.437844E-08 
    20     15   -2.578747E-08   -8.672618E-10 
    20     16   -1.243016E-08   -3.433862E-10 
    20     17    4.504054E-09   -1.372854E-08 
    20     18    1.535613E-08   -8.885942E-10 
    20     19   -3.027762E-09    1.092045E-08 
    20     20    3.734655E-09   -1.269577E-08 
    21      0    6.251485E-09    6.251485E-09 
    21      1   -1.616273E-08    2.868939E-08 
    21      2   -5.613778E-09    4.177980E-09 
    21      3    1.914356E-08    2.272011E-08 
    21      4   -5.109483E-09    1.897812E-08 
    21      5    2.608451E-09    1.096759E-09 
    21      6   -1.354907E-08    1.299051E-11 
    21      7   -6.610203E-09    2.520543E-09 
    21      8   -1.723552E-08    2.146744E-09 
    21      9    1.585400E-08    9.079612E-09 
    21     10   -1.140064E-08   -1.137951E-09 
    21     11    6.893870E-09   -3.557966E-08 
    21     12   -3.327630E-09    1.477424E-08 
    21     13   -1.936600E-08    1.393655E-08 
    21     14    2.026728E-08    7.353611E-09 
    21     15    1.757309E-08    1.036954E-08 
