     n      m             Cnm             Snm 
     0      0    0.000000E+00    0.000000E+00 
     1      0    0.000000E+00    0.000000E+00 
     1      1    0.000000E+00    0.000000E+00 
     2      0    0.000000E+00    0.000000E+00 
     2      1   -3.469141E-10    1.425626E-09 
     2      2    2.439377E-06   -1.400285E-06 
     3      0    9.571649E-07    9.571649E-07 
     3      1    2.030448E-06    2.482423E-07 
     3      2    9.047759E-07   -6.190105E-07 
     3      3    7.212913E-07    1.414403E-06 
     4      0    5.399826E-07    5.399826E-07 
     4      1   -5.361829E-07   -4.735757E-07 
     4      2    3.504928E-07    6.625020E-07 
     4      3    9.908517E-07   -2.009527E-07 
     4      4   -1.884920E-07    3.088202E-07 
     5      0    6.864852E-08    6.864852E-08 
     5      1   -6.291481E-08   -9.433624E-08 
     5      2    6.520554E-07   -3.233430E-07 
     5      3   -4.518297E-07   -2.149429E-07 
     5      4   -2.953260E-07    4.981200E-08 
     5      5    1.748147E-07   -6.693616E-07 
     6      0   -1.499798E-07   -1.499798E-07 
     6      1   -7.594774E-08    2.652835E-08 
     6      2    4.863449E-08   -3.737667E-07 
     6      3    5.724782E-08    8.974504E-09 
     6      4   -8.599837E-08   -4.714265E-07 
     6      5   -2.671619E-07   -5.364957E-07 
     6      6    9.475376E-09   -2.373843E-07 
     7      0    9.050134E-08    9.050134E-08 
     7      1    2.808861E-07    9.516319E-08 
     7      2    3.303933E-07    9.302336E-08 
     7      3    2.504651E-07   -2.170962E-07 
     7      4   -2.749861E-07   -1.240467E-07 
     7      5    1.647160E-09    1.793100E-08 
     7      6   -3.587993E-07    1.517944E-07 
     7      7    1.521152E-09    2.410371E-08 
     8      0    4.947864E-08    4.947864E-08 
     8      1    2.313901E-08    5.890542E-08 
     8      2    8.002216E-08    6.530221E-08 
     8      3   -1.936057E-08   -8.594102E-08 
     8      4   -2.443437E-07    6.981239E-08 
     8      5   -2.570011E-08    8.920856E-08 
     8      6   -6.597129E-08    3.089451E-07 
     8      7    6.725617E-08    7.486637E-08 
     8      8   -1.240342E-07    1.205425E-07 
     9      0    2.802362E-08    2.802362E-08 
     9      1    1.421495E-07    2.141810E-08 
     9      2    2.141168E-08   -3.167816E-08 
     9      3   -1.606023E-07   -7.424949E-08 
     9      4   -9.348172E-09    1.989884E-08 
     9      5   -1.631487E-08   -5.404293E-08 
     9      6    6.278342E-08    2.229640E-07 
     9      7   -1.179810E-07   -9.692020E-08 
     9      8    1.881326E-07   -3.004615E-09 
     9      9   -4.755836E-08    9.687779E-08 
    10      0    5.334723E-08    5.334723E-08 
    10      1    8.375254E-08   -1.310941E-07 
    10      2   -9.397471E-08   -5.126352E-08 
    10      3   -6.991057E-09   -1.541262E-07 
    10      4   -8.445885E-08   -7.902402E-08 
    10      5   -4.928476E-08   -5.061633E-08 
    10      6   -3.758798E-08   -7.977053E-08 
    10      7    8.256528E-09   -3.049234E-09 
    10      8    4.058918E-08   -9.171089E-08 
    10      9    1.253853E-07   -3.794270E-08 
    10     10    1.004218E-07   -2.386252E-08 
    11      0   -5.076396E-08   -5.076396E-08 
    11      1    1.561470E-08   -2.712091E-08 
    11      2    2.011391E-08   -9.898649E-08 
    11      3   -3.057004E-08   -1.488322E-07 
    11      4   -3.794030E-08   -6.376532E-08 
    11      5    3.741887E-08    4.958613E-08 
    11      6   -1.568277E-09    3.427347E-08 
    11      7    4.656420E-09   -8.982756E-08 
    11      8   -6.312872E-09    2.454702E-08 
    11      9   -3.107697E-08    4.206366E-08 
    11     10   -5.223804E-08   -1.841993E-08 
    11     11    4.623435E-08   -6.967205E-08 
    12      0    3.644908E-08    3.644908E-08 
    12      1   -5.358811E-08   -4.316882E-08 
    12      2    1.428137E-08    3.110043E-08 
    12      3    3.963529E-08    2.506903E-08 
    12      4   -6.772045E-08    3.838289E-09 
    12      5    3.087556E-08    7.588428E-09 
    12      6    3.132565E-09    3.897943E-08 
    12      7   -1.905590E-08    3.572411E-08 
    12      8   -2.588774E-08    1.693586E-08 
    12      9    4.190936E-08    2.496049E-08 
    12     10   -6.199493E-09    3.093618E-08 
    12     11    1.136764E-08   -6.388964E-09 
    12     12   -2.421668E-09   -1.111004E-08 
    13      0    4.173042E-08    4.173042E-08 
    13      1   -5.144215E-08    3.868395E-08 
    13      2    5.530905E-08   -6.268566E-08 
    13      3   -2.155150E-08    9.768477E-08 
    13      4   -3.642258E-09   -1.175406E-08 
    13      5    5.836921E-08    6.722102E-08 
    13      6   -3.504350E-08   -6.276048E-09 
    13      7    3.011105E-09   -7.322901E-09 
    13      8   -1.005410E-08   -9.856084E-09 
    13      9    2.476923E-08    4.588734E-08 
    13     10    4.111034E-08   -3.684284E-08 
    13     11   -4.452282E-08   -4.842034E-09 
    13     12   -3.130959E-08    8.794104E-08 
    13     13   -6.120789E-08    6.814762E-08 
    14      0   -2.266187E-08   -2.266187E-08 
    14      1   -1.876926E-08    2.886102E-08 
    14      2   -3.591152E-08   -4.062821E-09 
    14      3    3.652498E-08    1.969589E-08 
    14      4    1.611348E-09   -2.266388E-08 
    14      5    2.931058E-08   -1.678925E-08 
    14      6   -1.906627E-08    2.453444E-09 
    14      7    3.762509E-08   -3.935088E-09 
    14      8   -3.494615E-08   -1.544633E-08 
    14      9    3.195374E-08    2.846665E-08 
    14     10    3.879964E-08   -1.294218E-09 
    14     11    1.565032E-08   -3.904297E-08 
    14     12    8.460149E-09   -3.112751E-08 
    14     13    3.224118E-08    4.515129E-08 
    14     14   -5.187145E-08   -4.818907E-09 
    15      0    2.190463E-09    2.190463E-09 
    15      1    9.431503E-09    1.048009E-08 
    15      2   -2.053059E-08   -3.029725E-08 
    15      3    5.341481E-08    1.765480E-08 
    15      4   -4.016864E-08    6.808466E-09 
    15      5    1.224314E-08    7.616829E-09 
    15      6    3.285303E-08   -3.647041E-08 
    15      7    5.965440E-08    5.070974E-09 
    15      8   -3.209414E-08    2.217506E-08 
    15      9    1.329900E-08    3.799228E-08 
    15     10    1.026649E-08    1.469186E-08 
    15     11   -1.302055E-09    1.851987E-08 
    15     12   -3.241512E-08    1.560852E-08 
    15     13   -2.836755E-08   -4.576681E-09 
    15     14    5.198050E-09   -2.439817E-08 
    15     15   -1.902731E-08   -4.697727E-09 
    16      0   -4.706657E-09   -4.706657E-09 
    16      1    2.618956E-08    3.334892E-08 
    16      2   -2.450449E-08    2.802395E-08 
    16      3   -3.390632E-08   -2.134104E-08 
    16      4    4.085455E-08    4.798933E-08 
    16      5   -1.212144E-08   -3.444666E-09 
    16      6    1.387119E-08   -3.559860E-08 
    16      7   -8.064364E-09   -8.654541E-09 
    16      8   -2.120808E-08    5.410547E-09 
    16      9   -2.241319E-08   -3.966740E-08 
    16     10   -1.180714E-08    1.153797E-08 
    16     11    1.911268E-08   -3.202303E-09 
    16     12    1.956559E-08    6.725660E-09 
    16     13    1.377272E-08    1.046974E-09 
    16     14   -1.934446E-08   -3.864876E-08 
    16     15   -1.441597E-08   -3.277212E-08 
    16     16   -3.830283E-08    2.969327E-09 
    17      0    1.918515E-08    1.918515E-08 
    17      1   -2.536710E-08   -3.170811E-08 
    17      2   -2.010197E-08    6.813748E-09 
    17      3    6.306104E-09    5.074248E-09 
    17      4    6.476427E-09    2.533169E-08 
    17      5   -1.621798E-08    8.026981E-09 
    17      6   -1.173254E-08   -2.944113E-08 
    17      7    2.497361E-08   -4.387643E-09 
    17      8    3.899474E-08    3.636245E-09 
    17      9    3.476968E-09   -2.764224E-08 
    17     10   -3.793501E-09    1.837842E-08 
    17     11   -1.601773E-08    1.108506E-08 
    17     12    2.872269E-08    2.045812E-08 
    17     13    1.650356E-08    2.013718E-08 
    17     14   -1.427361E-08    1.157166E-08 
    17     15    5.543301E-09    5.243908E-09 
    17     16   -3.040833E-08    3.610016E-09 
    17     17   -3.469983E-08   -1.986811E-08 
    18      0    6.099559E-09    6.099559E-09 
    18      1    7.203901E-09   -3.928830E-08 
    18      2    1.472750E-08    1.082811E-08 
    18      3   -5.040723E-09   -5.853579E-09 
    18      4    5.462327E-08   -7.836788E-10 
    18      5    5.976414E-09    2.613729E-08 
    18      6    1.357567E-08   -1.324596E-08 
    18      7    6.792475E-09    7.464857E-09 
    18      8    3.049690E-08    4.346181E-09 
    18      9   -1.956982E-08    3.613310E-08 
    18     10    5.215716E-09   -4.240395E-09 
    18     11   -6.887146E-09    2.118542E-09 
    18     12   -2.974870E-08   -1.656404E-08 
    18     13   -6.254597E-09   -3.493662E-08 
    18     14   -8.293747E-09   -1.283074E-08 
    18     15   -4.046643E-08   -2.027812E-08 
    18     16    1.016194E-08    6.503919E-09 
    18     17    3.481997E-09    4.382013E-09 
    18     18    2.993799E-09   -1.084643E-08 
    19      0   -3.302491E-09   -3.302491E-09 
    19      1   -8.977563E-09    1.188336E-09 
    19      2    3.574068E-08   -2.368618E-09 
    19      3   -7.565314E-09    1.094949E-09 
    19      4    1.580912E-08   -8.147619E-09 
    19      5    1.039187E-08    2.744636E-08 
    19      6   -4.799495E-09    1.875506E-08 
    19      7    5.640842E-09   -8.744986E-09 
    19      8    2.988528E-08   -9.993098E-09 
    19      9    3.289429E-09    7.239497E-09 
    19     10   -3.387868E-08   -7.578443E-09 
    19     11    1.630469E-08    1.035820E-08 
    19     12   -2.442922E-09    9.456707E-09 
    19     13   -7.541706E-09   -2.852468E-08 
    19     14   -4.744698E-09   -1.285173E-08 
    19     15   -1.758805E-08   -1.407077E-08 
    19     16   -2.175228E-08   -7.096277E-09 
    19     17    2.880688E-08   -1.534104E-08 
    19     18    3.501144E-08   -9.693000E-09 
    19     19   -2.703846E-09    5.198404E-09 
    20      0    2.156101E-08    2.156101E-08 
    20      1    5.569497E-09    7.033080E-09 
    20      2    2.029321E-08    1.718409E-08 
    20      3   -4.746645E-09    3.889814E-08 
    20      4    4.267310E-09   -2.262163E-08 
    20      5   -1.012503E-08   -8.260194E-09 
    20      6    1.216178E-08   -4.366604E-09 
    20      7   -2.122773E-08   -7.069277E-10 
    20      8    5.093387E-09    2.154162E-09 
    20      9    1.718614E-08   -7.011944E-09 
    20     10   -3.229583E-08   -4.788900E-09 
    20     11    1.445021E-08   -1.915244E-08 
    20     12   -6.467670E-09    1.813394E-08 
    20     13    2.741076E-08    6.764831E-09 
    20     14    1.152875E-08   -1.437913E-08 
    20     15   -2.578787E-08   -8.673352E-10 
    20     16   -1.243028E-08   -3.433105E-10 
    20     17    4.504164E-09   -1.372903E-08 
    20     18    1.535639E-08   -8.881755E-10 
    20     19   -3.028251E-09    1.092158E-08 
    20     20    3.733496E-09   -1.269516E-08 
    21      0    6.251457E-09    6.251457E-09 
    21      1   -1.616280E-08    2.868930E-08 
    21      2   -5.613893E-09    4.177876E-09 
    21      3    1.914331E-08    2.271966E-08 
    21      4   -5.109490E-09    1.897823E-08 
    21      5    2.608546E-09    1.096818E-09 
    21      6   -1.354897E-08    1.254244E-11 
    21      7   -6.609938E-09    2.520442E-09 
    21      8   -1.723532E-08    2.147023E-09 
    21      9    1.585385E-08    9.079387E-09 
    21     10   -1.140041E-08   -1.138139E-09 
    21     11    6.893469E-09   -3.557954E-08 
    21     12   -3.327925E-09    1.477440E-08 
    21     13   -1.936539E-08    1.393660E-08 
    21     14    2.026707E-08    7.353982E-09 
    21     15    1.757351E-08    1.036995E-08 
