    Lon.    Lat. Zr(m)  E(m)
   3.819  69.694   972    16
   3.460  68.800  1237    10
   3.620  69.198   862    19
   8.430  69.362   599    39
-140.583  58.059  -416    47
 -51.635  54.387   -92   127
 -51.000  53.905   -65   104
 -50.485  53.514   -68    91
 -50.255  53.340  -129    90
 -41.520  48.506   687    32
 -42.991  48.256   283    37
 -45.891  44.747   194    57
  -7.615  45.490  -526    32
  -5.120  44.714 -2950   132
 -57.165  43.595 -1577   219
 -47.820  43.652  -548    82
  31.215  42.627 -1776   367
-134.610  42.911   -88     1
-134.000  42.978  -137     2
-133.000  43.089   -94     2
-132.005  43.159  -195     4
-131.000  43.063  -254     5
-130.000  42.951  -133     5
-129.000  42.839  -273     6
-128.000  42.722    39     2
-127.000  42.604   154     0
-126.310  42.523   241     2
 -57.020  43.325 -1417   189
 -53.600  43.240 -1147   164
  30.445  42.277 -1665   357
  30.720  42.402 -1804   370
-125.805  42.463   372     4
-125.480  42.425   -72    10
 -59.000  41.853 -1605   119
 -56.327  41.593 -1742   112
 -46.765  42.057  -281    36
 -46.285  41.857  -592    46
 -64.094  41.453  -457   136
 -59.490  40.673 -1444   106
 -57.914  41.080 -1476    95
 -55.765  41.236 -1475    94
 -55.245  40.736 -1368    77
 -12.923  40.704 -1014    34
 -12.488  40.816  -464    18
 -58.605  39.695 -1111    61
 -58.100  40.140 -1509    86
 -56.725  40.356 -1510    82
 -56.000  39.879 -1322    65
 -54.839  40.169 -1186    57
 -54.230  39.761 -1251    54
 -48.610  40.347   709    25
 -48.186  40.219   506    27
 -47.235  39.936    42    32
 144.395  39.077 -1193    29
 -54.918  39.187 -1173    47
 -53.997  39.028  -837    31
 -53.450  38.986  -447    16
 149.195  38.229  -522     7
 144.005  33.619  -333     5
 151.335  34.034  -714     9
 -13.615  33.929  -312    57
 -12.000  33.652  -450    67
 143.658  33.390  -228     7
 -14.575  33.223   381    30
 -13.926  33.074   -79    49
 -13.085  33.107   107    49
 -12.000  32.973   109    67
 -10.899  33.417  -518    79
 -14.800  32.339   159    35
 -14.029  32.189   162    42
 -13.000  32.271   343    48
 -12.215  32.241   241    79
 143.462  31.210  -489     5
 -15.995  30.791   252    43
 -14.993  30.800   568    51
 -14.132  30.901   939    63
 -15.665  29.704   387    74
 -15.245  30.206   829    59
 -15.883  28.969   -31    94
 -15.290  28.589  -404   122
 -17.060  27.624   239    75
 -16.480  27.506    14    95
 -61.555  26.576  -783     5
 -17.660  26.747   662    50
 -16.992  27.123   195    78
 -16.303  27.170  -213   113
 -61.650  26.459  -790     6
 -59.550  26.466 -1076    10
 -18.000  26.251   838    46
 -57.750  25.339  -933     6
-157.517  23.617  1002     1
-157.470  23.924   963     1
 -17.762  23.551  -179   270
 -17.464  23.529   129   306
 -93.810  22.702 -1597   215
 -93.375  22.985 -1562   202
  37.745  22.435  1190     0
 -94.670  22.143 -1857   259
 -94.315  22.374 -1731   239
 -65.495  21.968  -757    12
 -17.805  22.440  -544   307
  38.590  20.523  1713    30
 -65.508  21.390  -587    15
 155.715  19.656  -212     9
 118.110  18.534  -657    41
 123.190  18.622  -616    22
 123.610  18.792 -1300    19
 156.045  19.422  -132     7
 117.765  18.431  -627    36
 122.845  18.483  -746    37
 133.075  17.802 -1064     1
 133.775  17.822  -956     2
 136.445  18.000  -393     1
 137.000  17.998  -588     1
 138.000  17.994  -753     1
 138.770  17.991  -866     1
 140.075  17.982  -636     2
 141.000  17.985  -814    10
 141.695  17.987  -975    18
 144.085  18.011  -738     2
 144.790  18.152  -565     2
 156.440  17.780  -158     5
 156.665  17.618  -224     6
 158.425  17.729  -175     5
 158.625  17.585  -138     5
  84.635  17.047  -919   211
 157.110  17.298  -156     4
 159.120  17.229  -117     5
 159.560  16.913  -159     5
 -65.620  15.650   188    36
  84.546  15.179  -748   166
 149.480  14.666  -391     9
 -76.255  14.578   184    40
 -74.991  14.662   734    19
 -74.500  14.754   395    26
 113.800  13.817  -510     9
 114.755  13.734  -538     5
 -76.650  13.784   412    34
 -76.400  14.287   661    26
 -74.615  14.454   913    15
 -74.000  14.205   738    26
 -73.030  13.812    -7    55
 -57.815  14.120 -1140    63
 -57.480  14.365 -1699    73
 113.085  12.660  -839    16
 114.240  12.999  -588     7
 115.140  12.784  -744    12
 155.170  12.923  -375     4
 156.000  13.163  -499     6
 156.530  13.317  -577     7
 -77.025  13.030  -132    63
  83.535  12.265  -607   123
 113.350  12.299  -729    11
 113.626  11.924  -688    10
 114.909  12.291  -637    10
-103.865  12.040  -142     0
-103.000  12.155   -62     0
-102.400  12.235    93     0
  82.808  11.457  -725   125
 155.165  11.253  -198     4
 155.530  11.158  -110     3
 -53.970   9.837  -861    62
 -50.205   7.552 -1038   126
 -91.340   7.210   -13     5
 164.320   6.156   546     6
 165.000   6.218   371     8
 166.000   6.309   450     5
 167.000   6.399   420     7
 167.500   6.445 -1585     7
 -43.630   5.839   256    20
 -43.425   5.588   257    21
 -43.155   5.257   226    21
   5.740   3.563  -294   348
  51.008   3.782  -702    30
  51.825   4.018 -1110    36
 -83.790   3.535   462     1
 -44.350   4.237  -112    46
  -3.940   3.844  -496    85
  50.980   2.999   -65    16
 -83.771   2.997  -113     1
 -42.435   3.335   152    25
  -4.510   2.948 -1889   133
  51.385   2.313  -553    18
  51.535   2.059  -822    22
 -92.665   2.205   757     4
 -83.738   1.996  -148     3
   6.930   0.942   269    89
   7.825   1.483   657    98
   7.425   0.421   339    94
   7.515   0.327   368    92
 -42.871  -0.666  -801   163
 -37.165  -1.143   167    23
  42.420  -2.394  -619   187
  44.128  -2.067  -468   108
  42.200  -2.679  -870   210
  42.200  -4.437  -235   119
  45.175  -3.584  -724    64
 -34.565  -3.547   189    44
   8.495  -5.103  -994   119
  45.000  -4.684  -659    60
  45.665  -4.670  -463    44
  80.175  -5.486  -803    30
   9.973  -6.250  -931   161
  79.950  -5.507  -878    32
 128.129  -6.196 -2470    15
 128.211  -6.549 -2261    15
  42.042  -8.452     8    89
  42.580  -8.556  -193    82
  42.194 -10.997   544   106
-141.910 -11.433   807     3
  50.510 -11.518   833    17
  50.230 -12.509  1308    31
-144.675 -13.418   468     2
-144.093 -13.132   482     1
-143.345 -12.622   156     2
  11.544 -13.919   629    61
-149.385 -15.732   920     3
 -37.097 -16.044  -373    65
-149.795 -16.580  1152     3
   3.210 -17.904  -390     8
   3.550 -17.988  -392     6
-150.690 -18.390  1112     3
-150.390 -17.795  1501     7
   7.165 -18.904  -578    19
   8.001 -19.083  -470    20
   8.550 -19.190  -419    22
-150.780 -18.570  1068     3
-150.955 -19.720   944     0
  43.088 -24.254   570    51
  43.335 -24.649   518    42
 -11.745 -25.965  -170     2
  -3.345 -25.845  -110     2
 155.735 -29.583  -316    43
 -73.520 -30.999   451     9
 123.130 -36.467  -600    16
 124.100 -36.432  -259     7
 127.398 -36.067  -627    14
 128.074 -36.243  -798    18
 130.013 -36.414  -945    22
 130.548 -36.468 -1068    26
 -31.210 -36.485   353     9
 123.335 -36.629  -442    11
 127.215 -37.000  -656     9
 128.056 -36.931  -712    11
 130.903 -36.877  -946    19
 131.810 -37.020 -1033    21
 132.726 -37.114 -1075    22
 136.925 -37.484 -1231    30
 -30.815 -36.553   306     8
 -30.000 -36.694   279    10
 -29.140 -36.858   152     7
 127.054 -37.749  -744     2
 130.173 -37.696 -1085    12
 131.481 -37.923 -1390    18
 131.541 -37.673 -1327    19
 133.015 -37.758  -938     9
 138.076 -38.192  -818    12
 138.387 -38.619  -641     7
 139.500 -39.499   -11     0
 139.900 -39.879  -541     9
 150.578 -40.027  -512    53
 129.000 -41.166  -803     0
 140.433 -40.687  -739     9
 141.700 -41.085  -643    13
 127.350 -42.499  -723     0
 127.806 -42.060  -802     0
 131.490 -41.500  -514     0
 134.000 -41.850  -669     0
 134.819 -42.193  -638     0
 142.157 -42.078  -507     8
 142.799 -42.288  -498    10
 166.000 -41.830   114    40
 127.190 -42.501  -730     0
 135.051 -43.000  -621     0
 141.430 -42.654  -352     5
 141.585 -42.555  -167     6
 143.201 -42.852  -360     8
 143.739 -43.268  -351    15
 135.124 -44.000  -496     0
 143.351 -44.046  -443     7
 143.703 -44.035  -433     8
